车辆型号,车型名称,车系,排放,排量,说明
WLQ5029XSHBF,售货,N300P,国四,1.2,
LZW5028XXYBCY(客货车）,客厢,荣光,国五,1.2,
LZW6410BCF,客车,荣光S,国四,1.2,
LZW6410PVF,客车,荣光S,国四,1.5,
LZW6410PF客车,客车,荣光S,国四,1.5,
LZW6446KAF,客车,荣光V,国四,,
LZW6447KAF,客车,荣光V,国四,,
LQG5021XDWJF,流动服务车,荣光V,国四,,
LQG5021XDWJY,流动服务车,荣光V,国五,,
LQG5026XJHLBAF,救护车,荣光加长,国四,1.2,
LZW6450BAF,客车,荣光加长,国四,1.2,
LZW6450PF,客车,荣光加长,国四,1.5,
LZW6450BCY,客车,荣光加长,国五,1.2,
LQG5026XXYLBAF,客厢,荣光加长,国四,1.2,
LQG5026XXYLPF,客厢,荣光加长,国四,1.5,
LQG5020XLCLPF,冷,荣光加长,国四,1.5,
LQG5024XLCLPFA,冷,荣光加长,国四,1.5,
WLQ5026XDWBCY,流动服务车,荣光加长,国五,1.2,
LZW6450PY,客车,荣光加长,国五,1.5,
LQG5029CCYSBF,仓,N300PS,国四,1.2,
WLQ5029CCYSBF,仓,N300PS,国四,1.2,
LQG5029CCYQSPF,仓,N300PS,国四,1.5,
WLQ5029CCYSPF,仓,N300PS,国四,1.5,
LQG5029CCYSPF,仓,N300PS,国四,1.5,
WLQ5029CCYSBCY,仓,N300PS,国五,1.2,
WLQ5029CCYSPY,仓,N300PS,国五,1.5,
LQG5029XXYSBF,单,N300PS,国四,1.2,
LQG5029XXYSPF,单,N300PS,国四,1.5,
LQG5029XXYSBCY,单,N300PS,国五,1.2,
LQG5029XXYSPY,单,N300PS,国五,1.5,
LZW1029SBFA,货车,N300PS,国四,1.2,
LZW1029SPFA,货车,N300PS,国四,1.5,
LZW1029SBF,货车,N300PS,国四,1.2,
WLQ5029XXYSBDCY,双,N300PS,国五,1.2,
LQG5029XXYSBDF,双,N300PS,国四,1.2,
WLQ5029XXYSBDF,双,N300PS,国四,1.2,
LQG5029XXYSPDF,双,N300PS,国四,1.5,
WLQ5029XXYSPDF,双,N300PS,国四,1.5,
WLQ5029XXYSPDY,双,N300PS,国五,1.5,
WLQ5029CCYQSPY,仓,N300PS,国五,1.5,
WLQ5029CCYQSBCY,仓,N300PS,国五,1.2,
LZW1020SBQY,货车,N300PS,国五,1.2,
LZW1029SBQYA,货车,N300PS,国五,1.2,
LZW1029SPYA,货车,N300PS,国五,1.5,
LZW6510TF,客车,征程,国四,,
LZW1027NF,货车,之光,国四,1,
LZW6388NFA,客车,之光,国四,1,
LZW6390BF,客车,之光,国四,1.2,
LZW6389NFA,客车,之光,国四,1,
LZW6389BQF,客车,之光,国四,1.2,
LQG5023XFW,客厢,之光,国四,,
LZW6389BQY,客车,之光,国五,1.2,
LZW6389BQVY,客车,之光,国五,1.2,
LQG5020XDWNF,流动服务车,之光,国四,1,
LZW5022XXYBQYC,客厢,之光,国五,1.2,
LQG5020XXYNF1,单,之光0.998,国四,1,
LQG5020XXYNDF,双,之光0.998,国四,1,
LQG5020CCYNF,仓,之光0.998,国四,1,
LQG5020CCYSNF,仓,之光0.998,国四,1,
LQG5020XXYSNF,单,N111PS,国四,1,
LZW6413BCF,客车,之光加长,国四,1.2,
LQG5026XJHBF1,救护车,荣光,国四,1.2,
LQG5021XJHLBF1,救护车,之光加长,国四,1.2,
LZW6390QF,客车,之光,国四,,
LZW6376NF,客车,之光,国四,1,
LZW6388NF,客车,之光,国四,1,
LZW6388NVF,客车,之光,国四,1,
LZW6388NVFA,客车,之光,国四,1,
LZW6400BF,客车,之光加长,国四,1.2,
LZW6407BF,客车,荣光,国四,1.2,
LZW6410PF（警车）,客车,荣光S,国四,1.5,
LQG5021XYZLBF,客厢,之光加长,国四,1.2,
LQG5026XXYBF,客厢,荣光,国四,1.2,
LQG5023XXYLBF,客厢,之光加长,国四,1.2,
LQG5023XXYNF,客厢,之光,国四,1,
LQG5026XXYLBF,客厢,荣光加长,国四,1.2,
LQG5026XXYPF,客厢,荣光,国四,1.5,
LZW6443BTY,客车,宏光,国五,1.2,
LQG5029ZXXBCY,环卫,N300P,国五,1.2,
LQG5029XXYBQY,单,N300P,国五,1.2,N12
WLQ5029XXYBDQY,双,N300P,国五,1.2,N12
WLQ5029CCYBQY,仓,N300P,国五,1.2,N12
WLQ5029CCYQBQY,仓,N300P,国五,1.2,N12
WLQ5026XJHLBCY,救护车,荣光加长,国五,1.2,
LZW6446JY,客车,宏光,国五,1.5,
LZW1029PFA,货车,N300P,国四,1.5,
WLQ5029XSHBQY,售货,N300P,国五,1.2,
WLQ5029CCYSBQY,仓,N300PS,国五,1.2,
LZW6510TY（征程警车）,客车,征程,国五,1.8,
LZW6510TY,客车,征程,国五,1.8,
LZW6443JY,客车,宏光,国五,1.5,
LZW6410PF,客车,荣光S,国四,1.5,
LQG5010XXYNF,单,,国四,,
LQG5010CSLNF,仓,,国四,,
LQG5029CCYBFA,仓,N300P,国四,1.2,
LQG5027XPYNF,蓬式,N111P,国四,1.5,
LQG5026XJHLBF,救护车,荣光,国四,1.2,
LQG5022XXYBF,客厢,,国四,,
LQG5020XXYKF,客厢,,国四,,
LQG5020CSSLNF,仓,N111P,国四,,
LQG5010XXYNDF,双,之光0.998,国四,1,
WLQ5029CCYQSBQY,仓,N300PS,国五,1.2,
LQG5029GXSPY,环卫,N300PS,国五,1.5,
LQG5029XSHBQY,售货,N300P,国五,1.2,
LZW1029BQY,货车,N300P,国五,1.2,
LZW6441JY,客车,荣光,国五,,
LQG5029ZLJPY,环卫,N300P,国五,1.5,
LQG5029XXYSBQY,单,N300PS,国五,1.2,
WLQ5029XXYSBDQY,双,N300PS,国五,1.2,
LQG5021XDWJY1,流动服务车,荣光V,国五,1.5,
LZW1029PYA,货车,N300P,国五,1.5,
LZW6410BQY,客车,荣光,国五,,
LQG5029XSHPY,售货,N300P,国五,1.5,
LQG5020CCYBQY1,仓,N300P,国五,1.2,
LQG5020CCYSBQY1,仓,N300PS,国五,1.2,
LZW6410PY,货车,N300P,国五,1.5,
LQG5029CTYPY,环卫,N300P,国五,1.5,
LQG5020XXYSBQY,双,N300P,国五,1.2,
LQG5029ZXXBQY,环卫,N300P,国五,1.2,
LQG5029XYKPY,售货,N300P,国五,1.5,
LZW6455JY,客车,荣光,国五,1.5,
LQG5029CCYSPY,仓,N300PS,国五,1.5,
LQG5029CCYPY,仓,N300P,国五,1.5,
LQG5029CCYQPY,仓,N300P,国五,1.5,
LQG5030XXYDBEV,纯电动厢式运输车,N300P,,0,
LQG5031XXYDBEV,纯电动厢式运输车,N300P,,0,
LQG5032XXYDBEV,纯电动厢式运输车,N300P,,0,
LQG5020XLCBQY,冷,N111P,国五,1.2,
LQG5020ZXXBQY,车厢可卸式垃圾车,N111P,国五,1.2,
LQG5029XYKBQY,售货,N300P,国五,1.2,
LQG5029CCYBQY,仓,N300P,国五,1.2,
LQG5029CCYSBQY,仓,N300PS,国五,1.2,
LQG5040XDW,流动服务车,荣光V,国五,,
LQG5029CCYQBQY,仓,N300P,国五,1.2,
LQG5029CCYQSPY,仓,N300PS,国五,1.5,
LQG5029CCYQSBQY,仓,N300PS,国五,1.2,
LQG5020XFZJY,福祉车,CN100V,国五,1.5,
WLQ5029XYKBQY,售货,N300P,国五,1.2,
WLQ5029XXYBQY,单,N300P,国五,1.2,
WLQ5029XXYSBQY,单,N300PS,国五,1.2,
WLQ5029XXYPY,单,N300P,国五,1.5,
WLQ5029XXYSPY,单,N300PS,国五,1.5,
WLQ5029XYKPY,售货,N300P,国五,1.5,
LZW5020XXYBTYA,客厢,CN050V,国五,1.2,
LZW5020XXYBTYA,客厢,CN050V,国五,1.2,
LZW5020XXYBTYA,客厢,CN050V,国五,1.2,
LZW5020XXYBTYA,客厢,CN050V,国五,1.2,
LZW5026XXYBQY,客厢,N120,国五,1.2,
LZW5026XXYBQY,客厢,N120,国五,1.2,
LZW5026XXYBQY,客厢,N120,国五,1.2,
LZW5026XXYBQY,客厢,N120,国五,1.2,
LZW5020XXYABTY,客厢,CN050V,国五,1.2,
LZW5020XXYABTY,客厢,CN050V,国五,1.2,
LZW5020XXYBTYA,客厢,CN050V,国五,1.2,
LZW5020XXYBTYA,客厢,CN050V,国五,1.2,
LZW5020XXYBTYA,客厢,CN050V,国五,1.2,
LZW5021XXYBTY,客厢,CN100V,国五,1.2,
LZW5021XXYBTY,客厢,CN100V,国五,1.2,
LZW5021XXYBTY,客厢,CN100V,国五,1.2,
LZW5021XXYBTY,客厢,CN100V,国五,1.2,
LZW5021XXYJY,客厢,CN100V,国五,1.5,
LZW5021XXYJY,客厢,CN100V,国五,1.5,
LZW5021XXYJY,客厢,CN100V,国五,1.5,
LZW5021XXYJY,客厢,CN100V,国五,1.5,
LZW5022XXYBQYC,客厢,N111,国五,1.2,
LZW5022XXYBQYC,客厢,N111,国五,1.2,
LZW5022XXYBQYC,客厢,N111,国五,1.2,
LZW5022XXYBQYC,客厢,N111,国五,1.2,
LZW5024XXYPY,客厢,N300L,国五,1.5,
LZW5024XXYPY,客厢,N300L,国五,1.5,
LZW5024XXYPY,客厢,N300L,国五,1.5,
LZW5024XXYPY,客厢,N300L,国五,1.5,
LZW5025XXYBQY,客厢,N310,国五,1.2,
LZW5025XXYBQY,客厢,N310,国五,1.2,
LZW5025XXYBQY,客厢,N310,国五,1.2,
LZW5025XXYBQY,客厢,N310,国五,1.2,
LZW5025XXYPY,客厢,N310,国五,1.5,
LZW5025XXYPY,客厢,N310,国五,1.5,
LZW5025XXYPY,客厢,N310,国五,1.5,
LZW5025XXYPY,客厢,N310,国五,1.5,
LZW6445JY,客车,宏光S,国五,1.5,
LZW6445JVY,客车,宏光S,国五,1.5,
WLZ5020CCYBQY,仓,N111,国五,1.2,
LQG5028XXYDEVY,客厢,宏光S,国五,1.5,
LQG5028XXYPY,单,N350,国五,1.5,
LQG5028XXYTY,单,N350,国五,1.8,
LQG5028XXYSPY,单,N350,国五,1.5,
LQG5028XXYSTY,单,N350,国五,1.8,
LQG5028CCYPY,仓,N350,国五,1.5,
LQG5028CCYTY,仓,N350,国五,1.8,
LQG5028CCYSPY,仓,N350,国五,1.5,
LQG5028CCYSTY,仓,N350,国五,1.8,
LQG5028XLCTY,冷,N350,国五,1.8,
LQG5028CCYQPY,仓,N350,国五,1.5,
LQG5028CCYQTY,仓,N350,国五,1.8,
LQG5028CCYQSPY,仓,N350,国五,1.5,
LQG5028CCYQBQY,仓,N350,国五,1.2,
LQG5028CCYQSBQY,仓,N350,国五,1.2,
LQG5028CCYQSTY,仓,N350,国五,1.8,
WLQ5028XXYPY,单,N350,国五,1.5,
WLQ5028XXYTY,单,N350,国五,1.8,
WLQ5028XXYSPY,单,N350,国五,1.5,
WLQ5028XXYSTY,单,N350,国五,1.8,
WLQ5028CCYPY,仓,N350,国五,1.5,
WLQ5028CCYTY,仓,N350,国五,1.8,
WLQ5028CCYSPY,仓,N350,国五,1.5,
WLQ5028CCYSTY,仓,N350,国五,1.8,
WLQ5028XXYPDY,双,N350,国五,1.5,
WLQ5028XXYTDY,双,N350,国五,1.8,
WLQ5028XXYSPDY,双,N350,国五,1.5,
WLQ5028XXYSTDY,双,N350,国五,1.8,
LQG5028XXCPY,单,N350,国五,1.5,
WLQ5026XJHLPY,救护车,,国五,1.5,
